,date,state,retail,grocery,parks,transit,workplaces,residential,cases,deaths,daily_new_cases,daily_new_deaths
6093,2020-05-15,UT,-12.714285714285714,6.3,63.0,-7.461538461538462,-32.25,11.222222222222221,6930,77,170.0,1.0
6094,2020-05-16,UT,-14.357142857142858,1.9,88.85714285714286,-1.9166666666666667,-18.4375,4.571428571428571,7068,78,138.0,1.0
6095,2020-05-17,UT,-9.9,7.666666666666667,102.42857142857143,-13.444444444444445,-26.866666666666667,3.5,7238,80,170.0,2.0
6096,2020-05-18,UT,-1.9285714285714286,5.5,81.66666666666667,-10.083333333333334,-28.375,10.555555555555555,7384,80,146.0,0.0
6097,2020-05-19,UT,-4.3076923076923075,7.1,80.16666666666667,-4.538461538461538,-31.208333333333332,12.11111111111111,7530,88,146.0,8.0
6098,2020-05-20,UT,-2.0,7.8,64.28571428571429,-3.923076923076923,-30.5,11.555555555555555,7717,90,187.0,2.0
6099,2020-05-21,UT,2.2857142857142856,13.3,115.5,-7.545454545454546,-30.791666666666668,10.444444444444445,7876,92,159.0,2.0
6100,2020-05-22,UT,-1.8666666666666667,14.9,70.0,-1.0833333333333333,-31.458333333333332,9.333333333333334,8057,93,181.0,1.0
6101,2020-05-23,UT,-5.8,9.0,67.0,-5.181818181818182,-17.470588235294116,4.142857142857143,8260,97,203.0,4.0
6102,2020-05-24,UT,-1.9,13.25,150.16666666666666,2.090909090909091,-28.4,1.8333333333333333,8392,97,132.0,0.0
6103,2020-05-25,UT,9.461538461538462,19.3,217.5,-13.818181818181818,-65.375,12.555555555555555,8521,98,129.0,1.0
6104,2020-05-26,UT,-2.4615384615384617,10.5,105.16666666666667,-6.5,-30.083333333333332,10.11111111111111,8622,101,101.0,3.0
6105,2020-05-27,UT,1.2857142857142858,11.3,122.33333333333333,-2.5,-29.416666666666668,9.88888888888889,8710,105,88.0,4.0
6106,2020-05-28,UT,2.2857142857142856,13.2,127.0,-6.0,-28.833333333333332,10.11111111111111,8953,106,243.0,1.0
6107,2020-05-29,UT,-5.8,14.4,84.2,-0.46153846153846156,-29.25,8.555555555555555,9282,107,329.0,1.0
6108,2020-05-30,UT,-8.133333333333333,6.9,97.42857142857143,4.416666666666667,-8.941176470588236,3.25,9551,112,269.0,5.0
6109,2020-05-31,UT,-4.2,14.88888888888889,117.0,-0.18181818181818182,-19.466666666666665,2.5,9829,113,278.0,1.0
